meeting_id,circuit_id,round_number,season,gp_name,date_start,date_end,timezone,country_code,openf1_meeting_key,openf1_circuit_key,meeting_official_name,country_name,city
mtg:belgian-grand-prix-2025,circuit:spa-francorchamps-7,,2025,Belgian Grand Prix,2025-07-25 10:30:00+00,,,BEL,1265,7,FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,Belgium,
mtg:hungarian-grand-prix-2025,circuit:hungaroring-4,,2025,Hungarian Grand Prix,2025-08-01 11:30:00+00,,,HUN,1266,4,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,Hungary,
mtg:azerbaijan-grand-prix-2024,circuit:baku-144,,2024,Azerbaijan Grand Prix,2024-09-13 09:30:00+00,,,AZE,1245,144,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,Azerbaijan,
mtg:spanish-grand-prix-2024,circuit:catalunya-15,,2024,Spanish Grand Prix,2024-06-21 11:30:00+00,,,ESP,1238,15,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,Spain,
mtg:hungarian-grand-prix-2024,circuit:hungaroring-4,,2024,Hungarian Grand Prix,2024-07-19 11:30:00+00,,,HUN,1241,4,FORMULA 1 HUNGARIAN GRAND PRIX 2024,Hungary,
mtg:hungarian-grand-prix-2023,circuit:hungaroring-4,,2023,Hungarian Grand Prix,2023-07-21 11:30:00+00,,,HUN,1215,4,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,Hungary,
mtg:emilia-romagna-grand-prix-2024,circuit:imola-6,,2024,Emilia Romagna Grand Prix,2024-05-17 11:30:00+00,,,ITA,1235,6,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,Italy,
mtg:s-o-paulo-grand-prix-2024,circuit:interlagos-14,,2024,São Paulo Grand Prix,2024-11-01 14:30:00+00,,,BRA,1249,14,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,Brazil,
mtg:s-o-paulo-grand-prix-2023,circuit:interlagos-14,,2023,São Paulo Grand Prix,2023-11-03 14:30:00+00,,,BRA,1224,14,FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,Brazil,
mtg:las-vegas-grand-prix-2024,circuit:las-vegas-152,,2024,Las Vegas Grand Prix,2024-11-22 02:30:00+00,,,USA,1250,152,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,United States,
mtg:las-vegas-grand-prix-2023,circuit:las-vegas-152,,2023,Las Vegas Grand Prix,2023-11-17 04:30:00+00,,,USA,1225,152,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,United States,
mtg:qatar-grand-prix-2024,circuit:lusail-150,,2024,Qatar Grand Prix,2024-11-29 13:30:00+00,,,QAT,1251,150,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,Qatar,
